"study.id","ce.website.link","intervention.name","synopsis.name","publication.year","journal.name","publication.title","doi","citation","url"
7532,"https://www.conservationevidence.com/individual-study/7532","Provide/increase anti-poaching patrols","Terrestrial Mammal Conservation",2016,"Conservation Biology","Dynamics of a low-density tiger population in Southeast Asia in the context of improved law enforcement","https://doi.org/10.1017/S0030605307001767","Duangchantrasiri S., Umponjan M., Simcharoen S., Pattanavibool A., Chaiwattana S., Maneerat S., Kumar N.S., Jathanna D., Srivathsa A. & Karanth K.U. (2016) Dynamics of a low-density tiger population in Southeast Asia in the context of improved law enforcement. <i>Conservation Biology</i>, 30, 639-648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959259307&doi=10.1111%2fcobi.12655&partnerID=40&md5=4b1f47326c25baaebfc8d5316e0e85d6"
7581,"https://www.conservationevidence.com/individual-study/7581","Use vaccination programme","Terrestrial Mammal Conservation",2008,"Acta Theriologica","Changes in the density and spatial distribution of red fox dens and cub numbers in central Poland following rabies vaccination",NA,"Goszczyński  J., Misiorowska M. & Juszko S. (2008) Changes in the density and spatial distribution of red fox dens and cub numbers in central Poland following rabies vaccination. <i>Acta Theriologica</i>, 53, 121-127","https://link.springer.com/article/10.1007/BF03194245"
7746,"https://www.conservationevidence.com/individual-study/7746","Provide supplementary food to increase reproduction/survival","Terrestrial Mammal Conservation",2000,"Journal of Wildlife Management","Drug treatment for lungworm in bighorn sheep: reevaluation of a 20-year-old management prescription",NA,"Miller M.W., Vayhinger J.E., Bowden D.C., Roush S.P., Verry T.E., Torres A.N. & Jurgens V.D. (2000) Drug treatment for lungworm in bighorn sheep: reevaluation of a 20-year-old management prescription. <i>Journal of Wildlife Management</i>, 64, 505-512.","https://link.springer.com/article/10.1007/s10344-008-0192-9"
7746,"https://www.conservationevidence.com/individual-study/7746","Use drugs to treat parasites","Terrestrial Mammal Conservation",2000,"Journal of Wildlife Management","Drug treatment for lungworm in bighorn sheep: reevaluation of a 20-year-old management prescription",NA,"Miller M.W., Vayhinger J.E., Bowden D.C., Roush S.P., Verry T.E., Torres A.N. & Jurgens V.D. (2000) Drug treatment for lungworm in bighorn sheep: reevaluation of a 20-year-old management prescription. <i>Journal of Wildlife Management</i>, 64, 505-512.","https://link.springer.com/article/10.1007/s10344-008-0192-9"
7856,"https://www.conservationevidence.com/individual-study/7856","Release translocated mammals into fenced areas","Terrestrial Mammal Conservation",1987,"Oryx","Reintroduction of greater Indian rhinoceros into Dudhwa National Park","https://doi.org/10.1017/S0030605300026594","Sale J.B. & Singh S. (1987) Reintroduction of greater Indian rhinoceros into Dudhwa National Park. <i>Oryx</i>, 21, 81-84","https://doi.org/10.1017/S0030605300026594"
7856,"https://www.conservationevidence.com/individual-study/7856","Hold translocated mammals in captivity before release","Terrestrial Mammal Conservation",1987,"Oryx","Reintroduction of greater Indian rhinoceros into Dudhwa National Park","https://doi.org/10.1017/S0030605300026594","Sale J.B. & Singh S. (1987) Reintroduction of greater Indian rhinoceros into Dudhwa National Park. <i>Oryx</i>, 21, 81-84","https://doi.org/10.1017/S0030605300026594"
7874,"https://www.conservationevidence.com/individual-study/7874","Translocate to re-establish or boost populations in native range","Terrestrial Mammal Conservation",2013,"Journal of Wildlife Management","Habitat selection in translocated gregarious ungulate species: an interplay between sociality and ecological requirements","https://doi.org/10.1016/j.biocon.2006.01.015","Scillitani L., Darmon G., Monaco A., Cocca G., Sturaro E., Rossi L. & Ramanzin M. (2013) Habitat selection in translocated gregarious ungulate species: an interplay between sociality and ecological requirements. <i>Journal of Wildlife Management</i>, 77, 761-769.","http://dx.doi.org/10.1002/jwmg.517"
7988,"https://www.conservationevidence.com/individual-study/7988","Translocate to re-establish or boost populations in native range","Terrestrial Mammal Conservation",2011,"Journal of Mammalogy","Reintroduced bighorn sheep: fitness consequences of adjusting parturition to local environments","https://doi.org/10.1017/S0030605300026594","Whiting J.C., Bowyer R.T., Flinders J.T. & Eggett D.L. (2011) Reintroduced bighorn sheep: fitness consequences of adjusting parturition to local environments. <i>Journal of Mammalogy</i>, 92, 213-220","http://search.proquest.com/docview/853736104?accountid=10598"
8026,"https://www.conservationevidence.com/individual-study/8026","Remove/control non-native mammals","Terrestrial Mammal Conservation",1998,"Wildlife Research","Fox control and rock-wallaby population dynamics II. An update",NA,"Kinnear J.E., Onus M.L. & Sumner N.R. (1998) Fox control and rock-wallaby population dynamics II. An update. <i>Wildlife Research</i>, 25, 81-88","https://link.springer.com/article/10.1007/BF03194245"
8087,"https://www.conservationevidence.com/individual-study/8087","Provide artificial dens or nest boxes on trees","Terrestrial Mammal Conservation",2005,"Wildlife Research","The use of nest boxes in urban natural vegetation remnants by vertebrate fauna","https://doi.org/10.1071/WR01024","Harper M.J., McCarthy M.A. & van der Ree R. (2005) The use of nest boxes in urban natural vegetation remnants by vertebrate fauna. <i>Wildlife Research</i>, 32, 509-516","https://doi.org/10.1071/WR01024"
8090,"https://www.conservationevidence.com/individual-study/8090","Deter predation of livestock by using shock/electronic dog-training collars to reduce human-wildlife conflict","Terrestrial Mammal Conservation",2009,"Journal of Wildlife Management","Assessment of shock collars as nonlethal management for wolves in Wisconsin",NA,"Hawley J.E., Gehring T.M., Schultz R.N., Rossler S.T. & Wydeven A.P. (2009) Assessment of shock collars as nonlethal management for wolves in Wisconsin. <i>Journal of Wildlife Management</i>, 73, 518-525.","https://doi.org/10.1016/j.biocon.2009.06.020"
8091,"https://www.conservationevidence.com/individual-study/8091","Release captive-bred individuals to re-establish or boost populations in native range","Terrestrial Mammal Conservation",2007,"Oryx","The reintroduction of large carnivores to the Eastern Cape, South Africa: an assessment","https://doi.org/10.1017/S0030605307001767","Hayward M.W., Kerley G.I.H., Adendorff J., Moolman L.C., O'Brien J., Douglas A.S., Bissett C., Bean P., Fogarty A., Howarth D. & Slater R. (2007) The reintroduction of large carnivores to the Eastern Cape, South Africa: an assessment. <i>Oryx</i>, 41, 205-214","https://doi.org/10.1017/S0030605307001767"
8091,"https://www.conservationevidence.com/individual-study/8091","Translocate to re-establish or boost populations in native range","Terrestrial Mammal Conservation",2007,"Oryx","The reintroduction of large carnivores to the Eastern Cape, South Africa: an assessment","https://doi.org/10.1017/S0030605307001767","Hayward M.W., Kerley G.I.H., Adendorff J., Moolman L.C., O'Brien J., Douglas A.S., Bissett C., Bean P., Fogarty A., Howarth D. & Slater R. (2007) The reintroduction of large carnivores to the Eastern Cape, South Africa: an assessment. <i>Oryx</i>, 41, 205-214","https://doi.org/10.1017/S0030605307001767"
8173,"https://www.conservationevidence.com/individual-study/8173","Use non-lethal methods to deter carnivores from attacking humans","Terrestrial Mammal Conservation",2003,"Ursus","Experiences with aversive conditioning of habituated brown bears in Austria and other European countries",NA,"Rauer G., Kaczensky P. & Knauer F. (2003) Experiences with aversive conditioning of habituated brown bears in Austria and other European countries. <i>Ursus</i>, 14, 215-224","https://doi.org/10.1002/jwmg.941"
8176,"https://www.conservationevidence.com/individual-study/8176","Use collar-mounted devices to reduce predation by domestic animals","Terrestrial Mammal Conservation",2005,"Applied Animal Behaviour Science","The efficacy of collar-mounted devices in reducing the rate of predation of wildlife by domestic cats",NA,"Nelson S.H., Evans A.D. & Bradbury R.B. (2005) The efficacy of collar-mounted devices in reducing the rate of predation of wildlife by domestic cats. <i>Applied Animal Behaviour Science</i>, 94, 273-285","https://link.springer.com/article/10.1007/s10344-008-0192-9"
8176,"https://www.conservationevidence.com/individual-study/8176","Use collar-mounted devices to reduce predation","Bird Conservation",2005,"Applied Animal Behaviour Science","The efficacy of collar-mounted devices in reducing the rate of predation of wildlife by domestic cats",NA,"Nelson S.H., Evans A.D. & Bradbury R.B. (2005) The efficacy of collar-mounted devices in reducing the rate of predation of wildlife by domestic cats. <i>Applied Animal Behaviour Science</i>, 94, 273-285","https://link.springer.com/article/10.1007/s10344-008-0192-9"
8368,"https://www.conservationevidence.com/individual-study/8368","Use a square mesh instead of a diamond mesh codend in a trawl net","Marine Fish Conservation",2006,"Fisheries Management and Ecology","Optimising codend configuration in a multispecies demersal trawl fishery","https://doi.org/10.1016/j.fishres.2006.10.022","Broadhurst M.K., Millar R.B., Wooden M.E.L. & Macbeth W.G. (2006) Optimising codend configuration in a multispecies demersal trawl fishery. <i>Fisheries Management and Ecology</i>, 13, 81-92.","https://www.sciencedirect.com/science/article/pii/S016578360600381X"
8368,"https://www.conservationevidence.com/individual-study/8368","Use a larger mesh size","Marine Fish Conservation",2006,"Fisheries Management and Ecology","Optimising codend configuration in a multispecies demersal trawl fishery","https://doi.org/10.1016/j.fishres.2006.10.022","Broadhurst M.K., Millar R.B., Wooden M.E.L. & Macbeth W.G. (2006) Optimising codend configuration in a multispecies demersal trawl fishery. <i>Fisheries Management and Ecology</i>, 13, 81-92.","https://www.sciencedirect.com/science/article/pii/S016578360600381X"
8369,"https://www.conservationevidence.com/individual-study/8369","Use a larger mesh size","Marine Fish Conservation",2007,"Fisheries Research","On fishing selectivity of hadrah (fixed stake trap) in the coastal waters of Kuwait","https://doi.org/10.1016/j.fishres.2006.10.022","Al-Baz A.F., Chen W., Bishop J.M., Al-Husaini M. & Al-Ayoub S.A. (2007) On fishing selectivity of hadrah (fixed stake trap) in the coastal waters of Kuwait. <i>Fisheries Research</i>, 84, 202-209.","http://www.sciencedirect.com/science/article/pii/S016578360600381X"
8598,"https://www.conservationevidence.com/individual-study/8598","Use a different design or configuration of size-sorting escape grid/system in trawl fishing gear (bottom and mid-water)","Marine Fish Conservation",2013,"Aquatic Living Resources","Size selectivity of redfish (<i>Sebastes</i> spp.) in the Northeast Atlantic using grid-based selection systems for trawls",NA,"Herrmann B., Sistiaga M., Larsen R.B. & Nielsen K.N. (2013) Size selectivity of redfish (<i>Sebastes</i> spp.) in the Northeast Atlantic using grid-based selection systems for trawls. <i>Aquatic Living Resources</i>, 26, 109-120","https://doi.org/10.1051/alr/2013051"
8599,"https://www.conservationevidence.com/individual-study/8599","Use a different design or configuration of size-sorting escape grid/system in trawl fishing gear (bottom and mid-water)","Marine Fish Conservation",2013,"Fisheries Research","Understanding sorting grid and codend size selectivity of Greenland halibut (<i>Reinhardtius hippoglossoides</i>)","https://doi.org/10.1051/alr/2013051","Herrmann B., Sistiaga M., Larsen R.B., Nielsen K.N. & Grimaldo E. (2013) Understanding sorting grid and codend size selectivity of Greenland halibut (<i>Reinhardtius hippoglossoides</i>). <i>Fisheries Research</i>, 146, 59-73","http://www.sciencedirect.com/science/article/pii/S016578361300091X"
10237,"https://www.conservationevidence.com/individual-study/10237","Use prescribed burning: Forest, open woodland & savanna","Reptile Conservation",2013,"Ecological Applications","Reptile assemblage response to restoration of fire-suppressed longleaf pine sandhills",NA,"Steen D.A., Smith L.L., Conner L.M., Litt A.R., Provencher L., Hiers J.K., Pokswinski S. & Guyer C. (2013) Reptile assemblage response to restoration of fire-suppressed longleaf pine sandhills. <i>Ecological Applications</i>, 23, 148-158.","https://doi.org/10.1890/12-0198.1"
10237,"https://www.conservationevidence.com/individual-study/10237","Use prescribed burning in combination with vegetation cutting","Reptile Conservation",2013,"Ecological Applications","Reptile assemblage response to restoration of fire-suppressed longleaf pine sandhills",NA,"Steen D.A., Smith L.L., Conner L.M., Litt A.R., Provencher L., Hiers J.K., Pokswinski S. & Guyer C. (2013) Reptile assemblage response to restoration of fire-suppressed longleaf pine sandhills. <i>Ecological Applications</i>, 23, 148-158.","https://doi.org/10.1890/12-0198.1"
10237,"https://www.conservationevidence.com/individual-study/10237","Use prescribed burning in combination with herbicide application","Reptile Conservation",2013,"Ecological Applications","Reptile assemblage response to restoration of fire-suppressed longleaf pine sandhills",NA,"Steen D.A., Smith L.L., Conner L.M., Litt A.R., Provencher L., Hiers J.K., Pokswinski S. & Guyer C. (2013) Reptile assemblage response to restoration of fire-suppressed longleaf pine sandhills. <i>Ecological Applications</i>, 23, 148-158.","https://doi.org/10.1890/12-0198.1"
10316,"https://www.conservationevidence.com/individual-study/10316","Protect habitat: All reptiles (excluding sea turtles)","Reptile Conservation",2012,"Austral Ecology","Roadside connectivity does not increase reptile abundance or richness in a fragmented mallee landscape",NA,"Williams J.R., Driscoll D.A. & Bull C.M. (2012) Roadside connectivity does not increase reptile abundance or richness in a fragmented mallee landscape. <i>Austral Ecology</i>, 37, 383-391.","https://doi.org/10.1016/j.jaridenv.2011.04.011"
10475,"https://www.conservationevidence.com/individual-study/10475","Use prescribed burning: Forest, open woodland & savanna","Reptile Conservation",2013,"Restoration Ecology","Response of six-lined racerunner (<i>Aspidoscelis sexlineata</i>) to habitat restoration in fire-suppressed longleaf pine (<i>Pinus palustris</i>) sandhills",NA,"Steen D.A., Smith L.L., Morris G., Mike Conner L., Litt A.R., Pokswinski S. & Guyer C. (2013) Response of six-lined racerunner (<i>Aspidoscelis sexlineata</i>) to habitat restoration in fire-suppressed longleaf pine (<i>Pinus palustris</i>) sandhills. <i>Restoration Ecology</i>, 21, 457-463.","https://doi.org/10.1890/12-0198.1"
10475,"https://www.conservationevidence.com/individual-study/10475","Use prescribed burning in combination with vegetation cutting","Reptile Conservation",2013,"Restoration Ecology","Response of six-lined racerunner (<i>Aspidoscelis sexlineata</i>) to habitat restoration in fire-suppressed longleaf pine (<i>Pinus palustris</i>) sandhills",NA,"Steen D.A., Smith L.L., Morris G., Mike Conner L., Litt A.R., Pokswinski S. & Guyer C. (2013) Response of six-lined racerunner (<i>Aspidoscelis sexlineata</i>) to habitat restoration in fire-suppressed longleaf pine (<i>Pinus palustris</i>) sandhills. <i>Restoration Ecology</i>, 21, 457-463.","https://doi.org/10.1890/12-0198.1"
10475,"https://www.conservationevidence.com/individual-study/10475","Use prescribed burning in combination with herbicide application","Reptile Conservation",2013,"Restoration Ecology","Response of six-lined racerunner (<i>Aspidoscelis sexlineata</i>) to habitat restoration in fire-suppressed longleaf pine (<i>Pinus palustris</i>) sandhills",NA,"Steen D.A., Smith L.L., Morris G., Mike Conner L., Litt A.R., Pokswinski S. & Guyer C. (2013) Response of six-lined racerunner (<i>Aspidoscelis sexlineata</i>) to habitat restoration in fire-suppressed longleaf pine (<i>Pinus palustris</i>) sandhills. <i>Restoration Ecology</i>, 21, 457-463.","https://doi.org/10.1890/12-0198.1"
10478,"https://www.conservationevidence.com/individual-study/10478","Protect habitat: All reptiles (excluding sea turtles)","Reptile Conservation",2011,"Journal of Arid Environments","Comparing biodiversity between protected savanna and adjacent non-protected farmland in the southern Kalahari",NA,"Wasiolka B. & Blaum N. (2011) Comparing biodiversity between protected savanna and adjacent non-protected farmland in the southern Kalahari. <i>Journal of Arid Environments</i>, 75, 836-841.","https://doi.org/10.1016/j.jaridenv.2011.04.011"
