"","aid","ID_zhang","type","Journal","WOS_biodiversity","Scopus_NLC","use","issn_wos","eissn_wos","issn_scopus","eissn_scopus","issn_clean","eissn_clean","flag_conservation"
"130",130,99,"specialist","JOURNAL FOR NATURE CONSERVATION","Y","Y","Y","1617-1381","1618-1093","1617-1381",NA,"1617-1381","1618-1093",1
"131",131,100,"specialist","JOURNAL OF AGRO-ENVIRONMENT SCIENCE","N","Y","Y",NA,NA,"1672-2043",NA,"1672-2043",NA,0
"132",132,209,"specialist","JOURNAL OF APPLIED ECOLOGY","Y","N","Y","0021-8901","1365-2664","0021-8901","1365-2664","0021-8901","1365-2664",0
"133",133,210,"specialist","JOURNAL OF ASIA-PACIFIC BIODIVERSITY","Y","N","Y",NA,NA,"2287-884X","2287-9544","2287-884X","2287-9544",0
"134",134,101,"specialist","JOURNAL OF COASTAL CONSERVATION","N","Y","Y",NA,NA,"1400-0350","1874-7841","1400-0350","1874-7841",1
"135",135,102,"specialist","JOURNAL OF DEGRADED AND MINING LANDS MANAGEMENT","N","Y","Y",NA,NA,"2339-076X","2502-2458","2339-076X","2502-2458",0
"136",136,103,"specialist","JOURNAL OF DESIGN AND BUILT ENVIRONMENT","N","Y","Y",NA,NA,"1823-4208","2232-1500","1823-4208","2232-1500",0
"137",137,104,"specialist","JOURNAL OF DIGITAL LANDSCAPE ARCHITECTURE","N","Y","Y",NA,NA,"2367-4253","2511-624X","2367-4253","2511-624X",0
"138",138,105,"specialist","JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT","N","Y","Y",NA,NA,"1648-6897","1822-4199","1648-6897","1822-4199",0
"139",139,106,"specialist","JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY","N","Y","Y",NA,NA,"1311-5065",NA,"1311-5065",NA,0
"140",140,211,"specialist","JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE","Y","N","Y",NA,"1746-4269","1746-4269",NA,"1746-4269","1746-4269",0
"141",141,107,"specialist","JOURNAL OF FISH AND WILDLIFE MANAGEMENT","Y","Y","Y","1944-687X",NA,"1944-687X",NA,"1944-687X",NA,0
"142",142,108,"specialist","JOURNAL OF GREEN BUILDING","N","Y","Y",NA,NA,"1552-6100","1943-4618","1552-6100","1943-4618",0
"143",143,109,"specialist","JOURNAL OF INSECT CONSERVATION","N","Y","N",NA,NA,"1366-638X","1572-9753","1366-638X","1572-9753",1
"144",144,110,"specialist","JOURNAL OF LANDSCAPE ECOLOGY","N","Y","Y",NA,NA,"1589-4673",NA,"1589-4673",NA,0
"145",145,111,"specialist","JOURNAL OF LANDSCAPE ECOLOGY(CZECH REPUBLIC)","N","Y","Y",NA,NA,"1803-2427","1805-4196","1803-2427","1805-4196",0
"146",146,112,"specialist","JOURNAL OF MAMMALOGY","N","Y","Y",NA,NA,"0022-2372","1545-1542","0022-2372","1545-1542",0
"147",147,113,"specialist","JOURNAL OF MARINE AND ISLAND CULTURES","N","Y","Y",NA,NA,NA,"2212-6821",NA,"2212-6821",0
"148",148,114,"specialist","JOURNAL OF MOUNTAIN SCIENCE","N","Y","Y",NA,NA,"1672-6316","1993-0321","1672-6316","1993-0321",0
"149",149,NA,"specialist","Journal of Nanjing Forestry University (Natural Sciences Edition)",NA,"Y","Y",NA,NA,"1000-2006",NA,"1000-2006",NA,0
"150",150,212,"specialist","JOURNAL OF NATURAL HISTORY","Y","N","Y","0022-2933","1464-5262","0022-2933","1464-5262","0022-2933","1464-5262",0
"151",151,115,"specialist","JOURNAL OF NEW ZEALAND GRASSLANDS","N","Y","Y",NA,NA,"2463-2872","2463-2880","2463-2872","2463-2880",0
"152",152,NA,"specialist","Journal of Park and Recreation Administration",NA,"Y","Y",NA,NA,"0735-1968","2160-6862","0735-1968","2160-6862",0
"153",153,116,"specialist","JOURNAL OF PEOPLE, PLANTS, AND ENVIRONMENT","N","Y","N",NA,NA,"2508-7673","2508-7681","2508-7673","2508-7681",0
"154",154,117,"specialist","JOURNAL OF RANGELAND SCIENCE","N","Y","Y",NA,NA,"2008-9996","2423-642X","2008-9996","2423-642X",0
"155",155,118,"specialist","JOURNAL OF SOIL AND WATER CONSERVATION","N","Y","Y",NA,NA,"0022-4561","1941-3300","0022-4561","1941-3300",1
"156",156,119,"specialist","JOURNAL OF SUSTAINABLE REAL ESTATE","N","Y","Y",NA,NA,"1949-8276","1949-8284","1949-8276","1949-8284",0
"157",157,120,"specialist","JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS","N","Y","Y",NA,NA,"2333-5955","2333-5963","2333-5955","2333-5963",0
"158",158,121,"specialist","JOURNAL OF THE BOMBAY NATURAL HISTORY SOCIETY","N","Y","Y",NA,NA,"0006-6982",NA,"0006-6982",NA,0
"159",159,122,"specialist","JOURNAL OF THREATENED TAXA","N","Y","Y",NA,NA,"0974-7893","0974-7907","0974-7893","0974-7907",0
"160",160,123,"specialist","JOURNAL OF TOURISM AND CULTURAL CHANGE","N","Y","Y",NA,NA,"1476-6825",NA,"1476-6825",NA,0
"161",161,124,"specialist","JOURNAL OF TOURISM FUTURES","N","Y","Y",NA,NA,"2055-5911","2055-592X","2055-5911","2055-592X",0
"162",162,125,"specialist","JOURNAL OF WILDLIFE MANAGEMENT","N","Y","Y",NA,NA,"0022-541X","1937-2817","0022-541X","1937-2817",0
"163",163,126,"specialist","KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS","N","Y","Y",NA,NA,"1961-9502",NA,"1961-9502",NA,0
"164",164,213,"specialist","KOEDOE","Y","N","Y","0075-6458","2071-0771","0075-6458","2071-0771","0075-6458","2071-0771",0
"165",165,127,"specialist","LAND","N","Y","Y",NA,NA,NA,"2073-445X",NA,"2073-445X",0
"166",166,128,"specialist","LAND USE POLICY","N","Y","Y",NA,NA,"0264-8377",NA,"0264-8377",NA,0
"167",167,129,"specialist","LANDSCAPE AND ECOLOGICAL ENGINEERING","Y","Y","Y","1860-1871","1860-188X","1860-1871","1860-188X","1860-1871","1860-188X",0
"168",168,130,"specialist","LANDSCAPE AND URBAN PLANNING","N","Y","Y",NA,NA,"0169-2046",NA,"0169-2046",NA,0
"169",169,131,"specialist","LANDSCAPE ARCHITECTURE","N","Y","Y",NA,NA,"0023-8031",NA,"0023-8031",NA,0
"170",170,132,"specialist","LANDSCAPE ARCHITECTURE AND ART","N","Y","Y",NA,NA,"2255-8632","2255-8640","2255-8632","2255-8640",0
"171",171,133,"specialist","LANDSCAPE ECOLOGY","N","Y","Y",NA,NA,"0921-2973","1572-9761","0921-2973","1572-9761",0
"172",172,134,"specialist","LANDSCAPE HISTORY","N","Y","Y",NA,NA,"0143-3768","2160-2506","0143-3768","2160-2506",0
"173",173,135,"specialist","LANDSCAPE JOURNAL","N","Y","Y",NA,NA,"0277-2426","1553-2704","0277-2426","1553-2704",0
"174",174,136,"specialist","LANDSCAPE ONLINE","N","Y","Y",NA,NA,"1865-1542",NA,"1865-1542",NA,0
"175",175,137,"specialist","LANDSCAPE RESEARCH","N","Y","Y",NA,NA,"0142-6397","1469-9710","0142-6397","1469-9710",0
"176",176,138,"specialist","LANDSCAPES","N","Y","Y",NA,NA,"1492-9600",NA,"1492-9600",NA,0
"177",177,139,"specialist","LANDSCAPES (UNITED KINGDOM)","N","Y","Y",NA,NA,"1466-2035","2040-8153","1466-2035","2040-8153",0
"178",178,140,"specialist","LANDSCHAP","N","Y","Y",NA,NA,"0169-6300",NA,"0169-6300",NA,0
"179",179,141,"specialist","LIVING REVIEWS IN LANDSCAPE RESEARCH","N","Y","Y",NA,NA,"1863-7329",NA,"1863-7329",NA,0
"180",180,142,"specialist","MALAYAN NATURE JOURNAL","N","Y","Y",NA,NA,"0025-1291",NA,"0025-1291",NA,0
"181",181,214,"specialist","MANAGEMENT OF BIOLOGICAL INVASIONS","Y","N","Y","1989-8649",NA,NA,"1989-8649",NA,"1989-8649",0
"182",182,215,"specialist","MARINE BIODIVERSITY","Y","N","Y","1867-1616","1867-1624","1867-1616","1867-1624","1867-1616","1867-1624",0
"183",183,143,"specialist","MEMOIRS OF THE QUEENSLAND MUSEUM: CULTURAL HERITAGE SERIES","N","Y","Y",NA,NA,"1440-4788",NA,"1440-4788",NA,0
"184",184,144,"specialist","METABARCODING AND METAGENOMICS","N","Y","Y",NA,NA,NA,"2534-9708",NA,"2534-9708",0
"185",185,145,"specialist","MIRES AND PEAT","N","Y","Y",NA,NA,NA,"1819-754X",NA,"1819-754X",0
"186",186,146,"specialist","NAKHARA: JOURNAL OF ENVIRONMENTAL DESIGN AND PLANNING","N","Y","Y",NA,NA,"2672-9016","2651-2416","2672-9016","2651-2416",0
"187",187,147,"specialist","NATUR UND LANDSCHAFT","N","Y","Y",NA,NA,"0028-0615",NA,"0028-0615",NA,0
"188",188,148,"specialist","NATURAL AREAS JOURNAL","N","Y","Y",NA,NA,"0885-8608",NA,"0885-8608",NA,0
"189",189,217,"specialist","NATURAL HISTORY","Y","N","Y","0028-0712",NA,"0028-0712",NA,"0028-0712",NA,0
"190",190,NA,"specialist","Natural Resource Management and Policy",NA,"Y","Y",NA,NA,"0929-127X","2511-8560","0929-127X","2511-8560",0
"191",191,149,"specialist","NATURE CONSERVATION","N","Y","Y","1314-6947","1314-3301","1314-6947","1314-3301","1314-6947","1314-3301",1
"192",192,150,"specialist","NATURE CONSERVATION RESEARCH","Y","Y","Y",NA,NA,"2500-008X",NA,"2500-008X",NA,1
"193",193,NA,"specialist","Nature Reviews Earth and Environment",NA,"Y","Y",NA,NA,NA,"2662-138X",NA,"2662-138X",0
"194",194,151,"specialist","NATURE SUSTAINABILITY","N","Y","Y",NA,NA,NA,"2398-9629",NA,"2398-9629",0
"195",195,152,"specialist","NATUREZA A CONSERVACAO","N","Y","Y",NA,NA,"1679-0073",NA,"1679-0073",NA,0
"196",196,NA,"specialist","Neilreichia",NA,"Y","Y",NA,NA,"1681-5947",NA,"1681-5947",NA,0
"197",197,218,"specialist","NEOBIOTA","Y","N","Y","1619-0033","1314-2488","1619-0033","1314-2488","1619-0033","1314-2488",0
"198",198,153,"specialist","NEOTROPICAL BIOLOGY AND CONSERVATION","N","Y","Y",NA,NA,"1809-9939","2236-3777","1809-9939","2236-3777",1
"199",199,219,"specialist","NORTHEASTERN NATURALIST","Y","N","Y","1092-6194","1938-5307","1092-6194",NA,"1092-6194","1938-5307",0
"200",200,NA,"specialist","Ochrona Zabytkow",NA,"Y","Y",NA,NA,"0029-8247",NA,"0029-8247",NA,0
"201",201,154,"specialist","ONE ECOSYSTEM","N","Y","Y",NA,NA,NA,"2367-8194",NA,"2367-8194",0
"202",202,155,"specialist","ORYX","Y","Y","Y","0030-6053","1365-3008","0030-6053","1365-3008","0030-6053","1365-3008",1
"203",203,156,"specialist","PACIFIC CONSERVATION BIOLOGY","N","Y","Y",NA,NA,"1038-2097",NA,"1038-2097",NA,1
"204",204,NA,"specialist","PACHYDERM","Y","N","Y","1026-2881",NA,"1026-2881","1683-5018","1026-2881","1683-5018",0
"205",205,NA,"specialist","Palaeobiodiversity and Palaeoenvironments","Y","N","N","1867-1594","1867-1608","1867-1594","1867-1608","1867-1594","1867-1608",0
"206",206,NA,"specialist","PALEOBIOLOGY","Y","N","N","0094-8373","1938-5331","0094-8373","1938-5331","0094-8373","1938-5331",0
"207",207,157,"specialist","PARK SCIENCE","N","Y","Y",NA,NA,"0735-9462","1090-9966","0735-9462","1090-9966",0
"208",208,158,"specialist","PARKS","N","Y","Y",NA,NA,"0960-233X","2411-2119","0960-233X","2411-2119",0
"209",209,NA,"specialist","People and Nature","Y","N","Y",NA,"2575-8314",NA,"2575-8314",NA,"2575-8314",0
"210",210,159,"specialist","PERSPECTIVES IN ECOLOGY AND CONSERVATION","Y","Y","Y","2530-0644","2530-0644","2530-0644",NA,"2530-0644","2530-0644",1
"211",211,NA,"specialist","Plants People Planet",NA,NA,NA,NA,"2572-2611",NA,"2572-2611",NA,"2572-2611",0
"212",212,220,"specialist","POLAR BIOLOGY","Y","N","Y","0722-4060","1432-2056","0722-4060","1432-2056","0722-4060","1432-2056",0
"213",213,NA,"specialist","Pirineos",NA,"Y","Y",NA,NA,"0373-2568","1988-4281","0373-2568","1988-4281",0
"214",214,160,"specialist","PRIMATE CONSERVATION","N","Y","Y",NA,NA,"0898-6207",NA,"0898-6207",NA,1
"215",215,221,"specialist","PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA","Y","N","Y","0097-3157",NA,"0097-3157",NA,"0097-3157",NA,0
"216",216,222,"specialist","PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES","Y","N","Y","0370-047X",NA,"0370-047X",NA,"0370-047X",NA,0
"217",217,NA,"specialist","Progress in Geography",NA,"Y","Y",NA,NA,"1007-6301",NA,"1007-6301",NA,0
"218",218,161,"specialist","RANGELAND ECOLOGY AND MANAGEMENT","N","Y","Y",NA,NA,"1550-7424",NA,"1550-7424",NA,0
"219",219,NA,"specialist","Raptor Journal",NA,"Y","Y",NA,NA,NA,"2644-5247",NA,"2644-5247",0
"220",220,162,"specialist","REMOTE SENSING IN ECOLOGY AND CONSERVATION","N","Y","Y",NA,NA,NA,"2056-3485",NA,"2056-3485",1
"221",221,163,"specialist","RESOURCES","N","Y","Y",NA,NA,NA,NA,"2079-9276",NA,0
"222",222,164,"specialist","RESTORATION ECOLOGY","N","Y","Y",NA,NA,"1061-2971","1526-100X","1061-2971","1526-100X",0
"223",223,223,"specialist","REVISTA CHILENA DE HISTORIA NATURAL","Y","N","Y","0716-078X","0717-6317","0716-078X","0717-6317","0716-078X","0717-6317",0
"224",224,165,"specialist","REVISTA DE URBANISMO","N","Y","Y",NA,NA,NA,"0717-5051",NA,"0717-5051",0
"225",225,224,"specialist","REVISTA MEXICANA DE BIODIVERSIDAD","Y","N","Y","1870-3453","2007-8706","1870-5081","1870-509X","1870-3453","2007-8706",0
"226",226,166,"specialist","RI-VISTA","N","Y","Y",NA,NA,NA,"1724-6768",NA,"1724-6768",0
"227",227,167,"specialist","RURAL LANDSCAPES","N","Y","Y",NA,NA,NA,"2002-0104",NA,"2002-0104",0
"228",228,168,"specialist","RUSSIAN JOURNAL OF FOREST SCIENCE","N","Y","Y",NA,NA,"0024-1148",NA,"0024-1148",NA,0
"229",229,169,"specialist","SCIENCE FOR CONSERVATION","N","Y","Y",NA,NA,"1173-2946",NA,"1173-2946",NA,1
"230",230,NA,"specialist","Silva Gabreta",NA,"Y","Y",NA,NA,"1211-7420",NA,"1211-7420",NA,0
"231",231,170,"specialist","SLOVAK RAPTOR JOURNAL","N","Y","Y",NA,NA,"1337-3463","1338-7227","1337-3463","1338-7227",0
"232",232,171,"specialist","SOCIOLOGIA URBANA E RURALE","N","Y","Y",NA,NA,"0392-4939","1971-8403","0392-4939","1971-8403",0
"233",233,225,"specialist","SOUTHEASTERN NATURALIST","Y","N","Y","1528-7092","1938-5412","1528-7092",NA,"1528-7092","1938-5412",0
"234",234,226,"specialist","SOUTHWESTERN NATURALIST","Y","N","Y","0038-4909","1943-6262","0038-4909","1943-6262","0038-4909","1943-6262",0
"235",235,NA,NA,"Springer Geography",NA,"Y","Y",NA,NA,"2194-315X","2194-3168","2194-315X","2194-3168",0
"236",236,172,"specialist","STALETA PRAHA","N","Y","Y",NA,NA,"0231-6056",NA,"0231-6056",NA,0
"237",237,173,"specialist","STUDIES IN THE HISTORY OF GARDENS AND DESIGNED LANDSCAPES","N","Y","Y",NA,NA,"1460-1176",NA,"1460-1176",NA,0
"238",238,174,"specialist","SUBTERRANEAN BIOLOGY","N","Y","Y",NA,NA,"1768-1448","1314-2615","1768-1448","1314-2615",0
"239",239,175,"specialist","SUSTAINABILITY SCIENCE","N","Y","Y",NA,NA,"1862-4065","1862-4057","1862-4065","1862-4057",0
"240",240,176,"specialist","SUSTAINABLE HUMANOSPHERE","N","Y","Y",NA,NA,"1880-6503",NA,"1880-6503",NA,0
"241",241,177,"specialist","SUSTAINABLE MEDITERRANEAN CONSTRUCTION","N","Y","Y",NA,NA,"2385-1546","2420-8213","2385-1546","2420-8213",0
"242",242,178,"specialist","SYLVIA","N","Y","Y",NA,NA,"0231-7796",NA,"0231-7796",NA,0
"243",243,227,"specialist","SYSTEMATICS AND BIODIVERSITY","Y","N","Y","1477-2000","1478-0933","1477-2000","1478-0933","1477-2000","1478-0933",0
"244",244,179,"specialist","TRANSITIONAL WATERS BULLETIN","N","Y","N",NA,NA,NA,"1825-229X",NA,"1825-229X",0
"245",245,180,"specialist","TROPICAL CONSERVATION SCIENCE","Y","Y","Y","1940-0829","1940-0829","1940-0829",NA,"1940-0829","1940-0829",1
"246",246,181,"specialist","TUEXENIA","N","Y","Y",NA,NA,"0722-494X",NA,"0722-494X",NA,0
"247",247,228,"specialist","URBAN ECOSYSTEMS","Y","N","Y","1083-8155","1573-1642","1083-8155","1573-1642","1083-8155","1573-1642",0
"248",248,182,"specialist","URSUS","N","Y","Y",NA,NA,"1537-6176",NA,"1537-6176",NA,0
"249",249,229,"specialist","WESTERN NORTH AMERICAN NATURALIST","Y","N","Y","1527-0904","1944-8341","1527-0904",NA,"1527-0904","1944-8341",0
"250",250,183,"specialist","WILDFOWL","N","Y","Y",NA,NA,"0954-6324",NA,"0954-6324",NA,0
"251",251,184,"specialist","WILDLIFE BIOLOGY","N","Y","Y",NA,NA,"0909-6396",NA,"0909-6396",NA,0
"252",252,185,"specialist","WILDLIFE MONOGRAPHS","N","Y","Y",NA,NA,"0084-0173",NA,"0084-0173",NA,0
"253",253,186,"specialist","WILDLIFE SOCIETY BULLETIN","Y","Y","Y","2328-5540","2328-5540","0091-7648",NA,"0091-7648","2328-5540",0
"254",254,187,"specialist","WORLD AGRICULTURE","N","Y","Y",NA,NA,"2043-7234","2056-7979","2043-7234","2056-7979",0
"255",255,188,"specialist","ZOOLOGICAL RESEARCH","N","Y","Y",NA,NA,"2095-8137",NA,"2095-8137",NA,0
"256",256,189,"specialist","ZPRAVY LESNICKEHO VYZKUMU","N","Y","Y",NA,NA,"0322-9688","1805-9872","0322-9688","1805-9872",0
"257",257,NA,"multidisciplinary","Nature","N","N","Y","0028-0836",NA,NA,NA,"0028-0836",NA,0
"258",258,NA,"multidisciplinary","Science","N","N","Y","0036-8075",NA,NA,NA,"0036-8075",NA,0
"259",259,NA,"multidisciplinary","Scientific Reports","N","N","Y","2045-2322",NA,"2045-2322",NA,"2045-2322",NA,0
"260",260,NA,"multidisciplinary","Plos One","N","N","Y","1932-6203",NA,"1932-6203",NA,"1932-6203",NA,0
"261",261,NA,"multidisciplinary","PeerJ","N","N","Y","2167-8359",NA,"2167-8359",NA,"2167-8359",NA,0
