study.id,publication.year,publication.title,journal.name,doi,url,doi_clean,doi_url,ab_clean,intervention_count,notes
5907,2015,"Improving diet and activity of insectivorous primates in captivity: Naturalizing the diet of Northern Ceylon gray slender loris, <i>Loris lydekkerianus nordicus</i>",Zoo Biology,NA,<Go to ISI>://WOS:000362982900009,10.1002/zoo.21231,NA,NA,1,
6790,2012,"The conservation breeding of two foot-flagging frog species from Borneo, <i>Staurois parvus</i> and <i>Staurois guttatus</i>",Amphibian & Reptile Conservation,NA,http://www.redlist-arc.org/Article-PDFs/ARC_5(3)_45-56_e51_low_res.pdf,NA,NA,NA,2,no doi
6898,2012,Recuperación de la colonia de <i>Miniopterus schreibersii</i> de la cueva de Cueva de Ágreda (Soria),Barbastella,NA,http://secemu.org/wp-content/uploads/2016/12/Alcalde_et_al_2012.pdf,NA,NA,NA,1,domain expired
6902,2013,Prescribed fire in eucalypt woodlands: immediate effects on a microbat community of northern Australia,Wildlife Research,NA,http://www.publish.csiro.au/WR/WR12133,10.1071/WR12133,NA,NA,1,
7123,2017,"Benefits of a replenishment zone revealed through trends in focal species at Glover’s Atoll, Belize",Marine Ecology Progress Series,NA,http://www.int-res.com/abstracts/meps/v580/p37-56/,10.3354/meps12290,NA,NA,1,
7189,2018,Influence of agricultural management on bat activity and species richness in vineyards of central Chile,Journal of Mammalogy,NA,https://academic.oup.com/jmammal/article-pdf/99/6/1495/26923117/gyy121.pdf,10.1093/jmammal/gyy121,NA,NA,1,
7368,2015,Is trophy hunting of bharal (blue sheep) and Himalayan tahr contributing to their conservation in Nepal?,"Hystrix, the Italian Journal of Mammalogy (English, 1994-)",NA,"http://www.italian-journal-of-mammalogy.it/Is-trophy-hunting-of-bharal-blue-sheep-and-Himalayan-tahr-contributing-to-their-conservation,77173,0,2.html",10.4404/hystrix-26.2-11210,NA,NA,1,
7394,2013,"The successful introduction of the alpine marmot <i>Marmota marmota</i> in the Pyrenees, Iberian Peninsula, western Europe",Mammal Review,NA,<Go to ISI>://WOS:000315958500004,10.1111/j.1365-2907.2012.00212.x,NA,NA,1,
7430,2016,Translocation of problem predators: is it an effective way to mitigate conflict between farmers and cheetahs <i>Acinonyx jubatus</i> in Botswana?,Oryx,NA,https://www.cambridge.org/core/journals/oryx/article/translocation-of-problem-predators-is-it-an-effective-way-to-mitigate-conflict-between-farmers-and-cheetahs-acinonyx-jubatus-in-botswana/2018101DD14AC403427F1AA79B4493AE,10.1017/S0030605315000241,NA,NA,1,
7633,2012,Roads and supplemental feeding affect home-range size of Slovenian red deer more than natural factors,Journal of Mammalogy,NA,https://academic.oup.com/jmammal/article/93/4/1139/960308,10.1644/11-MAMM-A-136.1,NA,NA,1,
7659,2012,Establishment of an endangered species on a private nature refuge: what can we learn from reintroductions of the bridled nailtail wallaby <i>Onychogalea fraenata</>?,Oryx,NA,<Go to ISI>://WOS:000303837100019,10.1017/S0030605311000652,NA,NA,1,
7691,2011,Use of restoration-treated ponderosa pine forest by tassel-eared squirrels,Journal of Mammalogy,NA,http://search.proquest.com/docview/900730609?accountid=10598,10.1644/10-MAMM-A-321.1,NA,NA,1,
7722,2012,Thinning of young Douglas-fir forests decreases density of northern flying squirrels in the Oregon Cascades,Forest Ecology and Management,NA,http://www.scopus.com/inward/record.url?eid=2-s2.0-80755152875&partnerID=40&md5=a5937bddf8c2c81f0834ded362df3705,10.1016/j.foreco.2011.09.043,NA,NA,1,
7725,2015,Cats (<i>Felis catus</i>) are more abundant and are the dominant predator of woylies (<i>Bettongia penicillata</i>) after sustained fox (<i>Vulpes vulpes</i>) control,Australian Journal of Zoology,NA,http://www.publish.csiro.au/zo/ZO14024,NA,NA,NA,1,
7769,2017,Does ungulate disturbance mediate behavioural and physiological stress responses in Algerian mice (<i>Mus spretus</i>)? A wild exclosure experiment,"Hystrix, the Italian Journal of Mammalogy (English, 1994-)",NA,"http://www.italian-journal-of-mammalogy.it/Does-ungulate-disturbance-mediate-behavioural-and-physiological-stress-responses,78985,0,2.html",NA,NA,NA,1,
7816,2016,Activity patterns and habitat use of mammals in an Andean forest and a Eucalyptus reforestation in Colombia,"Hystrix, the Italian Journal of Mammalogy (English, 1994-)",NA,"http://www.italian-journal-of-mammalogy.it/Activity-patterns-and-habitat-use-of-mammals-in-an-Andean-forest-and-a-Eucalyptus,77145,0,2.html",NA,NA,NA,1,
7883,2014,Population recovery of the yellow-footed rock-wallaby following fox control in New South Wales and South Australia,Wildlife Research,NA,http://www.publish.csiro.au/nid/144/paper/WR14151.htm,NA,NA,NA,1,
7884,2016,Predation by feral cats key to the failure of a long-term reintroduction of the western barred bandicoot (<i>Perameles bougainville</i>),Wildlife Research,NA,http://www.publish.csiro.au/wr/wr15070,NA,NA,NA,2,
7911,2012,"Woody debris, voles, and trees: Influence of habitat structures (piles and windrows) on long-tailed vole populations and feeding damage",Forest Ecology and Management,NA,http://www.scopus.com/inward/record.url?eid=2-s2.0-80054685464&partnerID=40&md5=ad5447df5f34427c96ae7b4358193a13,NA,NA,NA,1,
7912,2014,Responses of red-backed voles (<i>Myodes gapperi</i>) to windrows of woody debris along forest-clearcut edges,Wildlife Research,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907736179&doi=10.1071%2fWR14050&partnerID=40&md5=e1cfbe4981934ad6bd618ef760cddecb,NA,NA,NA,1,
7975,2011,Management of rare ungulates in a small park: habitat use of bontebok and Cape mountain zebra in Bontebok National Park assessed by counts of dung groups,South African Journal of Wildlife Research,NA,https://hdl.handle.net/10520/EJC117380,NA,NA,NA,2,
7982,2015,A home away from home: insights from successful leopard (<i>Panthera pardus</i>) translocations,Biodiversity and Conservation,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931574114&doi=10.1007%2fs10531-015-0895-7&partnerID=40&md5=8ad008b17a3fa35ebf3b90f5cf0c8069,NA,NA,NA,1,
7983,2014,Using artificial passageways to facilitate the movement of wildlife on Namibian farmland,South African Journal of Wildlife Research,NA,https://hdl.handle.net/10520/EJC178578,NA,NA,NA,1,
7985,2011,Using canopy bridges to link habitat for arboreal mammals: successful trials in the wet tropics of Queensland,Australian Mammalogy,NA,https://www.publish.csiro.au/AM/AM11003,NA,NA,NA,1,
8153,2011,Will an artificial scent boundary prevent coyote intrusion?,Wildlife Society Bulletin,NA,https://www.jstor.org/stable/wildsocibull2011.35.4.494,NA,NA,NA,1,
8259,2011,Ecological effects of marine reserves in Latin America and the Caribbean,Marine Ecology Progress Series,NA,http://www.jstor.org/stable/24874487,NA,NA,NA,1,
8292,2012,Interactive effects of depth and marine protection on predation and herbivory patterns,Marine Ecology Progress Series,NA,https://www.int-res.com/abstracts/meps/v450/p55-65/,NA,NA,NA,1,
8305,2011,Context-dependent effects of marine protected areas on predatory interactions,Marine Ecology Progress Series,NA,https://www.int-res.com/abstracts/meps/v437/p119-133/,NA,NA,NA,1,
8652,2018,Behavioral responses of Australian fur seals to boat approaches at a breeding colony,Nature Conservation,NA,https://natureconservation.pensoft.net/article/26263/download/pdf/288772,NA,NA,NA,1,
8684,2011,Experimental fishing with an “umbrella-and-stones” system to reduce interactions of sperm whales (<i>Physeter macrocephalus</i>) and seabirds with bottom-set longlines for Patagonian toothfish (<i>Dissostichus eleginoides</i>) in the Southwest Atlantic,ICES Journal of Marine Science,NA,https://academic.oup.com/icesjms/article-pdf/68/1/228/29139941/fsq161.pdf,NA,NA,NA,1,
8688,2015,Two devices for mitigating odontocete bycatch and depredation at the hook in tropical pelagic longline fisheries,ICES Journal of Marine Science,NA,https://academic.oup.com/icesjms/article-pdf/72/5/1691/31227729/fsv013.pdf,NA,NA,NA,1,
8691,2014,The effectiveness of a seal scarer at a wild salmon net fishery,ICES Journal of Marine Science,NA,https://academic.oup.com/icesjms/article-pdf/71/7/1913/29151886/fst216.pdf,NA,NA,NA,1,
8716,2013,Using pingers to reduce bycatch of small cetaceans in Peru's small-scale driftnet fishery,Oryx,NA,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/198C9C3B4897766C328196E7BB1CEFD0/S0030605312000658a.pdf/using_pingers_to_reduce_bycatch_of_small_cetaceans_in_perus_smallscale_driftnet_fishery.pdf,NA,NA,NA,1,
8722,2015,Eighteen years of Antillean manatee <i>Trichechus manatus manatus</i> releases in Brazil: lessons learnt,Oryx,NA,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F881E2CC10928B99F206D8F3D8812BB6/S0030605313000896a.pdf/eighteen_years_of_antillean_manatee_trichechus_manatus_manatus_releases_in_brazil_lessons_learnt.pdf,NA,NA,NA,2,
8723,2011,Evaluation of the captive care and post-release behavior and survival of seven juvenile female Hawaiian monk seals (<i>Monachus schauinslandi</i>),Aquatic Mammals,NA,https://www.aquaticmammalsjournal.org/index.php?option=com_content&view=article&id=544:evaluation-of-the-captive-care-and-post-release-behavior-and-survival-of-seven-juvenile-female-hawaiian-monk-seals-monachus-schauinslandi&catid=38&Itemid=157,NA,NA,NA,1,
8725,2014,The first confirmed successful refloat of a stranded bottlenose dolphin (<i>Tursiops truncatus</i>) in Ireland and subsequent resighting with a neonate,Aquatic Mammals,NA,https://www.aquaticmammalsjournal.org/index.php?option=com_content&view=article&id=687:short-note-the-first-confirmed-successful-refloat-of-a-stranded-bottlenose-dolphin-tursiops-truncatus-in-ireland-and-subsequent-resighting-with-a-neonate&catid=55&Itemid=157,NA,NA,NA,1,
8726,2015,Testing a passive deterrent on longlines to reduce sperm whale depredation in the Gulf of Alaska,ICES Journal of Marine Science,NA,https://academic.oup.com/icesjms/article-pdf/72/5/1667/31226170/fsv014.pdf,NA,NA,NA,1,
8736,2015,Assessing interactions between dolphins and small pelagic fish on branchline to design a depredation mitigation device in pelagic longline fisheries,ICES Journal of Marine Science,NA,https://academic.oup.com/icesjms/article-pdf/72/5/1682/31228479/fsu252.pdf,NA,NA,NA,1,
8755,2015,Habituation to an acoustic harassment device (AHD) by killer whales depredating demersal longlines,ICES Journal of Marine Science,NA,https://academic.oup.com/icesjms/article-pdf/72/5/1673/31226321/fsu166.pdf,NA,NA,NA,1,
8770,2013,Seal scarers as a tool to deter harbour porpoises from offshore construction sites,Marine Ecology Progress Series,NA,https://www.int-res.com/articles/meps2013/475/m475p291.pdf,NA,NA,NA,1,
8782,2014,Risso's dolphin depredation in the Azorean hand-jig squid fishery: assessing the impacts and evaluating effectiveness of acoustic deterrents,ICES Journal of Marine Science,NA,https://academic.oup.com/icesjms/article-pdf/71/9/2608/29148303/fsu073.pdf,NA,NA,NA,1,
8841,2016,A comparison of the effectiveness of methods of deterring pteropodid bats from feeding on commercial fruit in Madagascar,Journal of Threatened Taxa,NA,https://threatenedtaxa.org/index.php/JoTT/article/download/2688/3832/,NA,NA,NA,1,
9978,2017,"Water depth and feed pellet type effects on growth and feed utilization in the rearing of green turtle (<i>Chelonia mydas</i> Linnaeus, 1758)",Aquatic Living Resources,NA,https://www.alr-journal.org/articles/alr/pdf/2017/01/alr170005.pdf,NA,NA,NA,1,
10075,2015,"Anidación y conservación de la tortuga lora (<i>Lepidochelys olivacea</i>) en playa Drake, península de Osa, Costa Rica (2006 a 2012)",Revista de Biología Tropical,NA,https://www.scielo.sa.cr/scielo.php?pid=S0034-77442015000500117&script=sci_arttext&tlng=en,NA,NA,NA,4,
10096,2016,Flexible turtle excluder device (TED): an effective tool for Mediterranean coastal multispecies bottom trawl fisheries,Aquatic Living Resources,NA,https://pdfs.semanticscholar.org/a31e/76148943ca4ba6c9ec91b5c8ff63aaf106c6.pdf,NA,NA,NA,1,
10153,2015,"Conservación y actividad reproductiva de tortuga lora (<i>Lepidochelys olivacea</i>) en la playa de anidación solitaria Punta Banco, Pacifico Sur de Costa Rica. Recomendaciones de manejo a través de dieciséis años de monitoreo",Revista de Biología Tropical,NA,https://www.scielo.sa.cr/scielo.php?pid=S0034-77442015000500383&script=sci_arttext&tlng=en,NA,NA,NA,1,
10225,2017,"Temperature sex determination, incubation duration, and hatchling sexual dimorphism in the Espanola giant tortoise (<i>Chelonoidis hoodensis</i>) of the Galapagos Islands",Amphibian & Reptile Conservation,NA,http://amphibian-reptile-conservation.org/pdfs/Volume/Vol_11_no_2/ARC_11_2_[General_Section]_44-50_e146_high_res.pdf,NA,NA,NA,1,
10250,2016,Effect of raccoon (<i>Procyon lotor</i>) reduction on Blanding's turtles (<i>Emydoidea blandingii</i>) nest success,Journal of North American Herpetology,NA,http://www.cnah.org/pdf/88546.pdf,NA,NA,NA,1,
10430,2013,The benefits of habitat restoration for rock-dwelling velvet geckos <i>Oedura lesueurii</i>,Journal of Applied Ecology,NA,https://www.jstor.org/stable/24031474,NA,NA,NA,1,
